Hacienda,Corte,Ambiente,env,Parcela,Entry,Rep,Block,Variedad,Name,FS,FC,FE,Edad,env1,New,Treatn,Poblacion,Alt,Diam,N_Entre,L_Entre,L_Hojas,A_Hojas,N_Hojas_V,N_Hojas_S,TCH,IDD,periodo,Diseno,TCH1
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,111,79,1,10,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,17.77777778,,,,,125.7,2.68,,,,112,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,121,129,1,11,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,12.27777778,,,,,145.5,4.16,,,,122,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,142,222,1,12,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,10.55555556,,,,,143.2,5.11,,,,143,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,148,219,1,13,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,13.38888889,,,,,137.4,5.11,,,,149,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,155,222,1,13,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,11.16666667,,,,,137.8,4.48,,,,156,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,162,222,1,14,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,13.38888889,,,,,142.9,5.38,,,,163,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,177,222,1,15,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,14,,,,,140.9,5.41,,,,178,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,192,222,1,16,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,13,,,,,140.9,5.64,,,,193,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,204,222,1,17,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,11.05555556,,,,,147.3,5.46,,,,205,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,207,222,1,18,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,11.94444444,,,,,136.9,5.34,,,,208,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,223,222,1,19,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,15.22222222,,,,,136.8,4.53,,,,224,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,236,222,1,20,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,14.27777778,,,,,142.4,5.19,,,,237,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,250,222,1,21,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,12.55555556,,,,,139.4,5.15,,,,251,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,259,222,1,22,CC 01-1940,S177,44450,44916,44587,4.6,Ballesteros_1_4,0,CC 01-1940,9.666666667,,,,,146.1,4.9,,,,260,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,185,166,1,16,CC 01-678,S19,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,10.5,,,,,123.8,4.95,,,,186,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,138,3,1,12,CC 03-154,S195,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,9.888888889,,,,,165.6,4.49,,,,139,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,188,207,1,16,CC 04-599,S196,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.05555556,,,,,152.9,4.81,,,,189,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,151,162,1,13,CC 04-844,S182,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,14.33333333,,,,,156,4.55,,,,152,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,96,172,1,8,CC 05-940,S178,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,20.55555556,,,,,160.7,3.49,,,,97,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,189,48,1,16,CC 06-783,S197,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.44444444,,,,,148.8,4.46,,,,190,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,64,22,1,6,CC 06-791,S179,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.77777778,,,,,153,3.81,,,,65,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,134,72,1,12,CC 09-368,S32,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,12.27777778,,,,,164.6,4.72,,,,135,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,117,132,1,10,CC 82-15,S20,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,14,,,,,157.9,7.11,,,,118,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,91,128,1,9,CC 82-26,S21,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,8.722222222,,,,,134.1,3.84,,,,92,4,AIBD,
