Parcela,Hacienda,Fibra_larga,Fibra_corta,Medula,Fibra_cana,Brix_cana,Sacarosa_cana,Name,Rep,Block,Ambiente
342,Balsora,44.14495066,6.186871144,49.66817819,13.37395667,13.62604333,10.95038341,S193,2,79,Balsora_1
343,Balsora,55.27361192,7.563206356,37.16318172,17.4253963,13.8746037,11.17313973,S108,2,79,Balsora_1
344,Balsora,57.51151357,4.655953052,37.83253337,14.59258015,14.90741985,12.77066778,S93,2,79,Balsora_1
345,Balsora,48.00072191,7.511831234,44.48744686,13.09768747,17.60231253,15.76520873,S127,2,80,Balsora_1
346,Balsora,29.37069003,11.16797502,59.46133495,13.60993935,14.19006065,11.77431535,S212,2,80,Balsora_1
347,Balsora,46.94029851,7.81016791,45.24953358,11.99407511,17.00592489,15.11088986,S87,2,80,Balsora_1
348,Balsora,36.54575655,10.18922134,53.26502211,13.47962925,16.22037075,14.14143909,S83,2,80,Balsora_1
349,Balsora,38.82000042,10.70153573,50.47846385,12.4631173,17.6368827,15.65157471,S174,2,81,Balsora_1
350,Balsora,,,,,,,S221,2,81,Balsora_1
351,Balsora,52.43235698,3.957378498,43.61026452,13.60199384,14.99800616,12.88000093,S78,2,81,Balsora_1
352,Balsora,38.7882855,9.847037308,51.3646772,11.11845249,18.98154751,17.43900369,S181,2,81,Balsora_1
353,Balsora,41.61369388,8.92533328,49.46097284,12.13589613,18.26410387,16.79560244,S177,2,82,Balsora_1
354,Balsora,46.11825193,7.388603256,46.49314482,12.3860492,16.5139508,14.23877535,S66,2,82,Balsora_1
355,Balsora,57.16794283,4.867789689,37.96426748,14.18638811,14.51361189,12.07919564,S124,2,82,Balsora_1
356,Balsora,52.81780993,10.05391935,37.12827072,24.20830887,9.591691129,6.270463267,S106,2,82,Balsora_1
357,Balsora,41.25487416,7.177123951,51.56800189,11.22506542,16.27493458,14.06432791,S33,2,82,Balsora_1
358,Balsora,25.6615476,18.18350634,56.15494605,14.5389855,15.6610145,13.42621937,S195,2,83,Balsora_1
359,Balsora,43.45250599,10.87888081,45.6686132,14.08690897,13.61309103,11.03099434,S7,2,83,Balsora_1
360,Balsora,23.99395968,8.25238756,67.75365276,11.85815182,13.54184818,10.66626488,S89,2,83,Balsora_1
361,Balsora,46.61902474,7.9550004,45.42597486,14.87873089,17.92126911,16.41227023,S61,2,83,Balsora_1
362,Balsora,28.36547875,10.46113178,61.17338947,10.71664991,16.88335009,14.84832678,S48,2,84,Balsora_1
363,Balsora,40.69041498,10.30317868,49.00640633,13.16880154,13.83119846,11.30758323,S215,2,84,Balsora_1
364,Balsora,34.52233491,17.12084849,48.3568166,11.94200734,18.45799266,16.87465866,S142,2,84,Balsora_1
365,Balsora,44.8365941,8.342794158,46.82061174,22.11319361,8.986806387,5.927547867,S208,2,84,Balsora_1
366,Balsora,42.15765693,8.626307357,49.21603571,15.70290744,16.49709256,14.65880166,S29,2,85,Balsora_1
367,Balsora,,,,14.01732593,16.98267407,15.14769019,S135,2,85,Balsora_1
368,Balsora,33.63892167,10.48152855,55.87954979,11.07791373,18.52208627,17.0406532,S63,2,85,Balsora_1
369,Balsora,35.48453864,10.65943619,53.85602517,13.14198888,16.55801112,14.63461565,S170,2,85,Balsora_1
370,Balsora,39.4118124,6.877052171,53.71113543,12.43418918,17.26581082,15.45175654,S82,2,85,Balsora_1
371,Balsora,48.91000954,8.795887362,42.2941031,16.1792181,13.9207819,11.58148529,S187,2,86,Balsora_1
372,Balsora,44.8529238,6.372120496,48.7749557,12.66630401,15.43369599,13.31833872,S71,2,86,Balsora_1
373,Balsora,51.3426652,4.050260402,44.6070744,12.55735943,16.14264057,13.77628064,S5,2,86,Balsora_1
374,Balsora,44.02044915,3.823782571,52.15576828,11.32294831,16.67705169,14.85271973,S11,2,86,Balsora_1
375,Balsora,53.8263947,5.848999163,40.32460613,15.48609975,9.013900251,5.361467082,S184,2,87,Balsora_1
376,Balsora,36.66666667,17.64705882,45.68627451,10.63311355,17.36688645,15.69571971,S43,2,87,Balsora_1
377,Balsora,54.35692384,3.617303389,42.02577277,12.62475044,15.97524956,13.64010541,S145,2,87,Balsora_1
378,Balsora,42.20472441,14.48818898,43.30708661,13.32410469,17.97589531,16.22468882,S136,2,87,Balsora_1
379,Balsora,30.63259676,19.77920376,49.58819948,11.63166074,15.26833926,13.46003203,S64,2,88,Balsora_1
380,Balsora,37.48558508,11.00960995,51.50480497,13.54730623,16.45269377,14.56655307,S12,2,88,Balsora_1
381,Balsora,37.01996928,19.96927803,43.01075269,12.17789371,17.92210629,16.12203019,S49,2,88,Balsora_1
382,Balsora,26.94065385,5.648623543,67.4107226,14.16210357,14.73789643,12.44730478,S183,2,88,Balsora_1
383,Balsora,49.47643979,13.7434555,36.78010471,14.82743268,13.97256732,11.51008639,S165,2,88,Balsora_1
384,Balsora,39.64757709,20.26431718,40.08810573,12.38911274,15.61088726,13.41464254,S197,2,89,Balsora_1
385,Balsora,35.05580306,18.74092916,46.20326778,12.64430172,16.95569828,15.24910972,S28,2,89,Balsora_1
386,Balsora,40.82214354,5.881043045,53.29681341,11.35990827,17.14009173,15.05022073,S95,2,89,Balsora_1
387,Balsora,43.58769566,8.149570703,48.26273363,11.49813124,17.90186876,16.18210823,S131,2,89,Balsora_1
388,Balsora,27.92690564,10.47796446,61.5951299,14.77265674,17.32734326,15.49713948,S34,2,90,Balsora_1
389,Balsora,40.82214354,5.881043045,53.29681341,12.31452574,14.68547426,12.43389517,S126,2,90,Balsora_1
390,Balsora,58.89132207,6.571186522,34.53749141,16.70658753,9.79341247,6.137190848,S111,2,90,Balsora_1
391,Balsora,41.10535406,16.58031088,42.31433506,10.91352915,15.78647085,13.75020778,S20,2,90,Balsora_1
392,Balsora,46.97481189,10.83711738,42.18807073,14.57734416,15.22265584,13.09190598,S29,2,91,Balsora_1
393,Balsora,37.55121437,10.05587023,52.3929154,12.39990108,16.60009892,14.56462207,S151,2,91,Balsora_1
394,Balsora,32.42444923,8.491869175,59.0836816,16.55489332,11.74510668,8.862835539,S81,2,91,Balsora_1
395,Balsora,20.80929907,19.70590806,59.48479287,11.47715937,17.62284063,15.8463932,S179,2,91,Balsora_1
396,Balsora,49.15457299,7.217776572,43.62765044,12.62097702,16.27902298,14.15697665,S133,2,91,Balsora_1
397,Balsora,42.44505495,15.38461538,42.17032967,15.90025327,16.29974673,14.87918297,S118,2,92,Balsora_1
398,Balsora,55.83797411,7.096628537,37.06539735,29.85622101,7.243778994,3.255402166,S3,2,92,Balsora_1
399,Balsora,47.97490965,5.217463548,46.8076268,12.5615785,17.2384215,15.38023723,S207,2,92,Balsora_1
400,Balsora,38.61055607,13.62883181,47.76061212,12.80261202,14.89738798,12.61459755,S73,2,92,Balsora_1
401,Balsora,35.15127959,6.912423542,57.93629687,15.09214622,17.40785378,16.07821331,S8,2,93,Balsora_1
402,Balsora,36.07030228,12.77594031,51.1537574,14.39212999,16.30787001,14.58483141,S116,2,93,Balsora_1
403,Balsora,30.20959812,12.07428492,57.71611696,14.39634622,14.70365378,12.45377275,S209,2,93,Balsora_1
404,Balsora,44.8846859,8.949146,46.1661681,14.32472069,17.47527931,16.07260967,S55,2,93,Balsora_1
405,Balsora,43.96788887,6.341045416,49.69106571,12.0306499,16.5693501,14.72506598,S64,2,94,Balsora_1
406,Balsora,35.19123929,8.211155458,56.59760525,12.83979747,16.96020253,15.27937001,S53,2,94,Balsora_1
