Parcela,Hacienda,Fibra_larga,Fibra_corta,Medula,Fibra_cana,Brix_cana,Sacarosa_cana,Name,Rep,Block,Ambiente
132,Balsora,41.91819213,4.212727151,53.86908072,10.72445498,18.47554502,16.95447936,S177,1,31,Balsora_1
133,Balsora,37.84254961,14.47963801,47.67781238,12.03844708,16.76155292,14.80809871,S186,1,31,Balsora_1
134,Balsora,14.99947606,16.84375982,68.15676412,12.82162874,17.97837126,16.47097319,S41,1,31,Balsora_1
135,Balsora,40.70088429,3.537173069,55.76194264,11.9456464,14.2543536,11.88671174,S155,1,31,Balsora_1
136,Balsora,33.69389696,11.814542,54.49156104,11.56882992,18.23117008,16.69870445,S212,1,32,Balsora_1
137,Balsora,36.64086103,7.125660876,56.2334781,10.52120531,17.07879469,15.40668995,S133,1,32,Balsora_1
138,Balsora,43.93474133,2.369845995,53.69541267,8.804522991,16.69547701,14.87290464,S78,1,32,Balsora_1
139,Balsora,34.55221012,7.679692505,57.76809737,9.553015203,18.4469848,16.85413822,S169,1,32,Balsora_1
140,Balsora,40.14798168,6.881784261,52.97023406,10.13550718,16.86449282,15.10567782,S70,1,33,Balsora_1
141,Balsora,46.81565962,4.567709233,48.61663115,12.52152003,17.47847997,15.90202934,S96,1,33,Balsora_1
142,Balsora,44.75043029,7.745266781,47.50430293,14.80488282,14.99511718,13.00517206,S147,1,33,Balsora_1
143,Balsora,,,,11.72625437,17.07374563,15.28956058,S25,1,33,Balsora_1
144,Balsora,41.94741334,2.946316089,55.10627057,14.02489317,15.37510683,13.25624899,S55,1,34,Balsora_1
145,Balsora,41.85083726,4.308871084,53.84029165,14.17607796,17.62392204,16.09224393,S29,1,34,Balsora_1
146,Balsora,37.93242442,5.88974511,56.17783047,9.466688674,18.33331133,16.71792803,S181,1,34,Balsora_1
147,Balsora,40.15886021,5.218717283,54.6224225,12.24476709,17.65523291,16.1378965,S54,1,34,Balsora_1
148,Balsora,,,,11.07932937,16.92067063,15.08105513,S26,1,34,Balsora_1
