Hacienda,Corte,Ambiente,env,Parcela,Entry,Rep,Block,Variedad,Name,FS,FC,FE,Edad,env1,New,Treatn,Poblacion,Alt,Diam,N_Entre,L_Entre,L_Hojas,A_Hojas,N_Hojas_V,N_Hojas_S,TCH,IDD,periodo,Diseno,TCH1
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,29,144,1,3,CC 00-2924,S11,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,14.72222222,307.4,2.97,17.3,18.8,159.7,5.61,,,,1086,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,157,15,1,37,CC 00-3012,S193,42251,42667,42380,4.3,Balsora_1_4,,,9.2,88.5,,,,,,,,,2534,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,342,15,2,79,CC 00-3012,S193,42251,42667,42380,4.3,Balsora_1_4,,,11.7,94,,,,,,,,,2719,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,685,15,3,158,CC 00-3012,S193,42251,42667,42380,4.3,Balsora_1_4,,,11.4,107.6,,,,,,,,,3062,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,161,179,1,14,CC 00-3012,S193,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,13.22222222,,,,,119.5,3.46,,,,162,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,161,179,1,14,CC 00-3012,S193,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,8.388888889,255,2.99,7.6,19.6,121.2,5.89,,,,1218,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,44,16,1,10,CC 00-3068,S12,42251,42667,42380,4.3,Balsora_1_4,,,14.7,129.5,,,,,,,,,2421,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,380,16,2,88,CC 00-3068,S12,42251,42667,42380,4.3,Balsora_1_4,,,14.2,79.5,,,,,,,,,2757,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,647,16,3,149,CC 00-3068,S12,42251,42667,42380,4.3,Balsora_1_4,,,11.4,92.2,,,,,,,,,3024,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,242,27,1,21,CC 00-3068,S12,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,6.222222222,,,,,127.3,4.94,,,,243,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,242,27,1,21,CC 00-3068,S12,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,5.277777778,260.1,3.23,20.4,12.6,136.8,5.49,,,,1299,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,17,17,1,4,CC 00-3079,S13,42251,42667,42380,4.3,Balsora_1_4,,,19.5,108,,,,,,,,,2394,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,334,17,2,77,CC 00-3079,S13,42251,42667,42380,4.3,Balsora_1_4,,,14,111,,,,,,,,,2711,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,666,17,3,154,CC 00-3079,S13,42251,42667,42380,4.3,Balsora_1_4,,,12.9,123.2,,,,,,,,,3043,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,92,205,1,9,CC 00-3079,S13,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,14.16666667,,,,,166.8,5.27,,,,93,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,92,205,1,9,CC 00-3079,S13,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,13,251.7,2.72,20.6,12.4,170.5,6.6,,,,1149,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,78,18,1,18,CC 00-3191,S14,42251,42667,42380,4.3,Balsora_1_4,,,16.2,103.5,,,,,,,,,2455,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,440,18,2,102,CC 00-3191,S14,42251,42667,42380,4.3,Balsora_1_4,,,13.6,90.5,,,,,,,,,2817,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,620,18,3,143,CC 00-3191,S14,42251,42667,42380,4.3,Balsora_1_4,,,21.3,110.3,,,,,,,,,2997,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,221,188,1,19,CC 00-3191,S14,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,11.44444444,,,,,148.8,4.18,,,,222,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,221,188,1,19,CC 00-3191,S14,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,11.05555556,292.5,2.96,15.1,12.9,170.2,5.7,,,,1278,10,AIBD,
Balsora,1,Balsora_1,Balsora_1_4.3,25,19,1,6,CC 00-3755,S170,42251,42667,42380,4.3,Balsora_1_4,,,17.7,116.3,,,,,,,,,2402,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,369,19,2,85,CC 00-3755,S170,42251,42667,42380,4.3,Balsora_1_4,,,13.4,86.5,,,,,,,,,2746,4,Latice,
Balsora,1,Balsora_1,Balsora_1_4.3,668,19,3,154,CC 00-3755,S170,42251,42667,42380,4.3,Balsora_1_4,,,13.8,90.1,,,,,,,,,3045,4,Latice,
Ballesteros,1,Ballesteros_1,Ballesteros_1_4.6,37,50,1,4,CC 00-3755,S170,44450,44916,44587,4.6,Ballesteros_1_4,1,Z9999,9.555555556,,,,,135.6,4.42,,,,38,4,AIBD,
Ballesteros,1,Ballesteros_1,Ballesteros_1_10.4,37,50,1,4,CC 00-3755,S170,44450,44916,44761,10.4,Ballesteros_1_10,1,Z9999,10.33333333,276.1,3.01,13.2,16.5,142.5,5.96,,,,1094,10,AIBD,
